time	PosX	PosY	PosZ	LeftX	LeftY	LeftZ	RightX	RightY	RightZ	AccLinearX	AccLinearY	AccLinearZ	VelLinearX	VelLinearY	VelLinearZ
91.277004	134.190305	-42.873414	158.059189	161.309916	-20.274647	111.051712	116.277985	-46.445717	91.450241	0.0	0.0	0.0	-9.091117999999994	0.03434000000000026	-0.26451099999999883
91.402391	125.324552	-46.637903	158.7155	142.287544	-30.390118	100.525047	112.242221	-49.978513	92.967323	0.0	0.0	0.0	-8.865752999999998	-3.7644890000000046	0.6563109999999881
91.528208	119.032978	-50.869833	159.288528	126.310522	-38.778501	96.926559	108.269449	-56.924746	92.970039	0.0	0.0	0.0	-6.291573999999997	-4.231929999999998	0.5730280000000221
91.653943	114.11888	-54.095568	159.633072	115.371624	-42.482383	98.733292	105.376085	-64.493478	92.33551	0.0	0.0	0.0	-4.914097999999996	-3.2257350000000002	0.34454399999998486
91.779688	109.795257	-55.384183	160.387054	107.829803	-41.665961	100.777908	103.391809	-68.807713	91.990761	0.0	0.0	0.0	-4.323622999999998	-1.288615	0.7539820000000077
91.904477	105.211248	-54.540358	160.35907	101.768846	-39.182732	101.140526	99.998466	-68.908944	91.680298	0.0	0.0	0.0	-4.584009000000009	0.8438250000000025	-0.02798400000000356
92.029847	100.206556	-51.131089	159.10965	92.799522	-37.119927	101.475525	94.322857	-66.644705	91.778946	0.0	0.0	0.0	-5.0046919999999915	3.4092689999999948	-1.2494200000000149
92.156129	94.926347	-46.273744	156.882767	82.318879	-38.970901	105.215477	87.153444	-65.186853	94.576614	0.0	0.0	0.0	-5.280208999999999	4.857345000000002	-2.2268829999999866
92.281136	87.017035	-41.931864	156.037613	73.141998	-37.916236	107.690254	81.47707	-64.486709	98.397385	0.0	0.0	0.0	-7.909312	4.341880000000003	-0.845154000000008
92.406272	77.838581	-39.146095	155.275894	62.239469	-35.514462	107.264351	77.406677	-62.717342	101.770653	0.0	0.0	0.0	-9.178454000000002	2.785768999999995	-0.7617189999999994
92.531283	67.281792	-38.697295	153.479996	50.47576	-35.470549	106.762169	72.100534	-61.577644	102.064255	0.0	0.0	0.0	-10.556789000000009	0.44880000000000564	-1.795897999999994
92.657082	56.411739	-40.943468	152.208267	39.434236	-37.12658	105.266212	61.806654	-62.609151	100.669411	0.0	0.0	0.0	-10.870052999999999	-2.246173000000006	-1.2717289999999934
92.782448	44.773474	-44.634319	152.949066	27.836097	-39.354359	104.63414	49.195835	-63.658602	101.384888	0.0	0.0	0.0	-11.638264999999997	-3.690850999999995	0.7407989999999813
92.907696	34.069975	-46.940128	154.614395	17.347277	-40.247308	106.460594	38.236864	-64.811068	103.17025	0.0	0.0	0.0	-10.703499	-2.3058090000000036	1.665329000000014
93.032963	23.698065	-48.292955	155.82016	5.993439	-40.443873	106.664154	27.748445	-67.897945	104.114891	0.0	0.0	0.0	-10.37191	-1.3528269999999978	1.2057649999999853
93.158634	14.24542	-49.469658	154.301376	-7.166302	-42.319274	105.792679	19.040793	-71.794007	103.957474	0.0	0.0	0.0	-9.452645	-1.1767030000000034	-1.5187839999999824
93.28326	4.2008	-50.53225	155.801697	-23.722892	-43.873644	109.599304	14.443885	-74.925343	104.417297	0.0	0.0	0.0	-10.044619999999998	-1.062591999999995	1.5003209999999854
93.409056	-5.008546	-52.989128	158.963226	-40.215614	-47.094349	117.73188	10.048232	-79.233622	103.244804	0.0	0.0	0.0	-9.209346	-2.4568780000000032	3.1615290000000016
93.534316	-13.801628	-57.01252	158.245712	-55.522585	-51.419103	124.41864	2.316606	-84.901497	100.808266	0.0	0.0	0.0	-8.793081999999998	-4.023392000000001	-0.7175139999999942
93.659943	-21.496482	-63.001928	156.982925	-66.227356	-55.28761	128.542358	-3.682232	-91.140092	94.547806	0.0	0.0	0.0	-7.694854000000001	-5.989407999999997	-1.262787000000003
93.785042	-29.331643	-69.521126	157.177689	-75.512139	-59.779905	130.330032	-5.644868	-95.288404	90.552864	0.0	0.0	0.0	-7.835160999999999	-6.519197999999996	0.19476399999999217
93.909474	-37.579256	-74.232799	157.687897	-85.531034	-64.315696	131.214783	-7.273623	-97.111775	90.580467	0.0	0.0	0.0	-8.247613000000001	-4.711673000000005	0.5102080000000058
94.033798	-46.274418	-77.096937	156.950577	-97.165613	-68.460553	132.407806	-9.865793	-97.729345	91.010628	0.0	0.0	0.0	-8.695161999999996	-2.864137999999997	-0.7373199999999827
94.158984	-56.733371	-77.575817	156.405945	-110.47952	-72.12537	133.949966	-13.80243	-95.81289	92.759689	0.0	0.0	0.0	-10.458953000000001	-0.47888000000000375	-0.5446320000000071
94.284844	-69.274884	-77.325189	156.979889	-123.828252	-74.148393	133.884186	-19.36733	-92.526707	95.239334	0.0	0.0	0.0	-12.541513000000002	0.25062800000000607	0.5739439999999831
94.410013	-78.660129	-77.930517	157.090622	-133.58095	-74.446838	133.460556	-25.549484	-89.435198	97.706703	0.0	0.0	0.0	-9.385244999999998	-0.6053280000000001	0.1107330000000104
94.534759	-83.39197	-79.04346	157.219208	-138.621536	-74.78264	132.041519	-29.424356	-89.499275	101.358124	0.0	0.0	0.0	-4.731841000000003	-1.1129430000000013	0.12858600000001275
94.660086	-83.486553	-81.169053	157.584274	-142.270508	-75.094456	130.834732	-28.405661	-90.053381	101.02037	0.0	0.0	0.0	-0.09458300000000008	-2.125593000000009	0.36506599999998457
94.785879	-83.208441	-83.122177	156.840668	-142.139384	-76.140291	129.791809	-27.100714	-89.944284	101.339149	0.0	0.0	0.0	0.27811200000000724	-1.9531239999999883	-0.7436059999999998
94.911194	-84.601138	-81.597874	156.992889	-142.54119	-77.633182	131.486374	-25.605407	-88.252283	101.461983	0.0	0.0	0.0	-1.3926970000000125	1.524302999999989	0.15222099999999728
95.036435	-87.266064	-78.347452	156.520874	-142.549033	-78.774738	133.182098	-25.778497	-85.498226	99.983337	0.0	0.0	0.0	-2.664925999999994	3.2504220000000004	-0.47201499999999896
95.161911	-87.243822	-77.979136	156.623032	-137.176361	-81.66573	130.450668	-27.411501	-84.00969	98.358635	0.0	0.0	0.0	0.022242000000005646	0.3683160000000072	0.10215800000000286
95.273072	-83.342854	-81.028429	157.755249	-116.105059	-84.401619	120.94809	-30.43301	-84.926937	98.91378	0.0	0.0	0.0	3.9009679999999918	-3.049293000000006	1.1322169999999971
95.398363	-74.616736	-85.258531	158.464996	-87.949748	-83.446111	107.030083	-30.445416	-89.311585	99.633423	0.0	0.0	0.0	8.726118	-4.230102000000002	0.7097470000000214
95.524188	-63.940241	-89.08545	158.867493	-66.135868	-86.287172	104.47271	-28.8621	-93.351082	101.467964	0.0	0.0	0.0	10.676495000000003	-3.8269189999999895	0.40249699999998256
95.649958	-52.853287	-92.515195	158.7379	-54.934463	-92.842805	107.603249	-23.144668	-97.445215	102.044884	0.0	0.0	0.0	11.086953999999999	-3.429745000000011	-0.12959299999999985
95.775452	-42.761625	-97.051402	160.240631	-51.686171	-103.629578	109.522903	-18.499599	-101.7365	101.768021	0.0	0.0	0.0	10.091662	-4.53620699999999	1.5027310000000114
95.90084	-36.193076	-102.304192	161.314468	-50.957571	-112.002184	113.788315	-17.476701	-106.572306	102.198753	0.0	0.0	0.0	6.568549000000004	-5.2527900000000045	1.0738369999999975
96.026218	-32.888256	-108.484272	160.624954	-51.862812	-120.590211	115.592781	-17.410365	-113.935906	101.7509	0.0	0.0	0.0	3.3048199999999994	-6.180080000000004	-0.6895140000000026
96.151358	-33.30857	-116.030044	159.420853	-53.571858	-131.434028	116.017273	-17.905942	-123.863722	101.880386	0.0	0.0	0.0	-0.42031400000000474	-7.5457719999999995	-1.2041010000000085
96.276498	-37.616609	-125.019377	157.71608	-55.391824	-144.759604	115.384171	-15.249918	-134.450993	103.513	0.0	0.0	0.0	-4.308038999999994	-8.989333000000002	-1.7047729999999888
96.401871	-41.062191	-136.072536	158.137039	-55.793176	-159.772754	115.629433	-11.965886	-141.324739	105.216179	0.0	0.0	0.0	-3.4455820000000017	-11.053159000000008	0.4209589999999821
96.526944	-41.569502	-147.471243	161.009735	-56.529904	-175.709645	120.843842	-9.86382	-147.126936	106.083908	0.0	0.0	0.0	-0.5073110000000014	-11.398706999999973	2.872696000000019
